Price,LastUpdated
61.7227,3/17/25 4:00
61.7227,3/17/25 4:05
61.8609,3/17/25 4:10
61.9201,3/17/25 4:15
61.9003,3/17/25 4:20
62.0089,3/17/25 4:25
61.9991,3/17/25 4:40
61.93,3/17/25 4:50
61.8115,3/17/25 5:05
61.6437,3/17/25 5:10
61.772,3/17/25 5:25
61.8411,3/17/25 5:40
62.0682,3/17/25 6:10
62.0385,3/17/25 6:25
61.9201,3/17/25 6:55
61.9398,3/17/25 7:00
61.9398,3/17/25 7:05
61.8016,3/17/25 7:30
61.9003,3/17/25 8:00
61.9398,3/17/25 8:15
61.8806,3/17/25 8:30
61.8905,3/17/25 8:35
62.0287,3/17/25 8:50
61.9497,3/17/25 8:55
61.929,3/17/25 9:20
61.8411,3/17/25 9:25
62.0682,3/17/25 9:30
62.0385,3/17/25 9:35
62.1175,3/17/25 9:40
62.1471,3/17/25 9:45
62.1965,3/17/25 9:50
62.1619,3/17/25 9:55
62.0978,3/17/25 10:00
61.9003,3/17/25 10:05
61.8214,3/17/25 10:10
61.8609,3/17/25 10:15
61.8806,3/17/25 10:20
61.93,3/17/25 10:25
61.9694,3/17/25 10:30
61.9031,3/17/25 10:35
61.851,3/17/25 10:40
61.8214,3/17/25 10:45
61.8115,3/17/25 10:50
61.7918,3/17/25 10:55
61.9349,3/17/25 11:00
61.9201,3/17/25 11:05
61.93,3/17/25 11:10
61.9497,3/17/25 11:15
61.9991,3/17/25 11:20
61.9694,3/17/25 11:25
61.9843,3/17/25 11:30
62.0484,3/17/25 11:35
62.1373,3/17/25 11:40
62.1175,3/17/25 11:45
62.0978,3/17/25 11:50
62.0484,3/17/25 11:55
62.0139,3/17/25 12:00
62.0287,3/17/25 12:05
62.0809,3/17/25 12:10
62.0682,3/17/25 12:15
62.0484,3/17/25 12:20
62.1718,3/17/25 12:25
62.0583,3/17/25 12:30
61.9941,3/17/25 12:35
62.0706,3/17/25 12:40
62.1274,3/17/25 12:45
62.1521,3/17/25 12:50
62.2063,3/17/25 12:55
62.1965,3/17/25 13:00
62.2557,3/17/25 13:05
62.236,3/17/25 13:10
62.1619,3/17/25 13:15
62.1224,3/17/25 13:20
62.0709,3/17/25 13:25
62.0978,3/17/25 13:30
62.0978,3/17/25 13:35
62.1175,3/17/25 13:40
62.1274,3/17/25 13:45
62.1471,3/17/25 13:50
